circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,banjara hills,banjara hills,film nagar,durga bhavani nagar,domestic,1,1045,823.0,102665.0,756.47
banjara hills,banjara hills,banjara hills,film nagar,govt services,domestic,1,31,31.0,49148.0,181.0
banjara hills,banjara hills,banjara hills,film nagar,grc,domestic,1,246,242.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,grc high values rdno-12,domestic,1,234,232.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,grc-film ngr-mla colony,domestic,1,313,308.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,gyani jail singh nagar,domestic,1,1099,953.0,115884.0,822.92
banjara hills,banjara hills,banjara hills,film nagar,j hills 71727374757677,domestic,1,732,685.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,j hills7879808182,domestic,1,997,922.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,journalist ab nandagiri hills,domestic,1,855,806.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,jubilee hills road no.92,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,m l a colony,domestic,1,1298,1244.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,m.g nagar,domestic,1,803,670.0,67488.0,437.56
banjara hills,banjara hills,banjara hills,film nagar,mrnc colony,domestic,1,1499,1351.5,180809.625,1545.02
banjara hills,banjara hills,banjara hills,film nagar,n b nagar,domestic,1,668,627.0,89623.0,720.99
banjara hills,banjara hills,banjara hills,film nagar,n b t nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,nbt nagar b,domestic,1,1499,1351.5,180809.625,1915.12
banjara hills,banjara hills,banjara hills,film nagar,pension ofic to rdno-12 s.s,domestic,1,414,387.0,155973.0,1738.81
banjara hills,banjara hills,banjara hills,film nagar,prashasan nagar,domestic,1,755,739.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,rdno-12 comaan to omega opposi,domestic,1,633,606.0,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,road no. 13 b hills,domestic,1,580,551.0,177190.0,1969.69
banjara hills,banjara hills,banjara hills,film nagar,sriramnagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,banjara hills,film nagar,syed nagar,domestic,1,591,538.0,92211.0,682.4
banjara hills,banjara hills,banjara hills,film nagar,trs bhavan to ministers qrters,domestic,1,560,538.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,aswini  huda enclave,domestic,1,879,831.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,cc-cameras,domestic,1,1,1.0,159.0,1.0
banjara hills,banjara hills,jubilee hills,jubilee hills,domestic ht,domestic,1,25,25.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,grc high values,domestic,1,363,363.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,guttala begumpet,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,highvalue,domestic,1,373,366.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,ias ips colony,domestic,1,488,482.0,174393.0,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee bills 54 to 60,domestic,1,385,364.0,149670.0,1965.7
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills 36 to 44 and 44a,domestic,1,240,214.0,111760.0,1396.03
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills 45 to 53,domestic,1,494,470.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd no. 10 to 15,domestic,1,391,368.0,133437.0,1491.78
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd nos. 1 to 9,domestic,1,519,469.0,120975.0,1878.6
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd nos. 26 to 35,domestic,1,428,401.0,136047.0,1957.96
banjara hills,banjara hills,jubilee hills,jubilee hills,jubilee hills rd nos.242527,domestic,1,222,210.0,100470.0,1191.24
banjara hills,banjara hills,jubilee hills,jubilee hills,jubille hills rd no. 16 to 22,domestic,1,257,231.0,103575.0,1205.75
banjara hills,banjara hills,jubilee hills,jubilee hills,kakateeya hills,domestic,1,1240,1220.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,jubilee hills,mastannagar rd.no.46,domestic,1,770,714.0,86574.0,1183.86
banjara hills,banjara hills,jubilee hills,jubilee hills,net metering,domestic,1,156,155.0,109641.0,1872.0
banjara hills,banjara hills,jubilee hills,jubilee hills,road no 36 main road,domestic,1,26,26.0,27184.0,409.0
banjara hills,banjara hills,jubilee hills,madhapur,(harijana basti) sai nagar,domestic,1,1499,1351.5,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,andhra basthi,domestic,1,566,558.0,66915.0,1090.47
banjara hills,banjara hills,jubilee hills,madhapur,arundhoya colonyjaihind encla,domestic,1,1343,1311.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,arundhoyakavuriimage garden,domestic,1,17,13.0,8017.0,291.26
banjara hills,banjara hills,jubilee hills,madhapur,cyber tower areapatrikanagar,domestic,1,46,46.0,70249.0,1029.0
banjara hills,banjara hills,jubilee hills,madhapur,kavuri hills,domestic,1,71,71.0,39348.0,1231.0
banjara hills,banjara hills,jubilee hills,madhapur,kavuri hills(d-mart)amar coop,domestic,1,812,768.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,kumar bastinectar garden,domestic,1,916,866.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,my homes apartments,domestic,1,573,573.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,patrikanagarjubilee enclave,domestic,1,1213,1058.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,temparory services,domestic,1,1,1.0,156.0,5.0
banjara hills,banjara hills,jubilee hills,madhapur,vadara bastimeghasriram tank,domestic,1,1297,1261.0,180809.625,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,vinayak nagar,domestic,1,908,824.0,161009.0,1969.69
banjara hills,banjara hills,jubilee hills,madhapur,vittal rao nagargafoornagar,domestic,1,1456,1351.5,180809.625,1969.69
banjara hills,green lands,sanath nagar,borabanda,hari nagar,domestic,1,433,426.0,48986.0,501.48
banjara hills,green lands,sanath nagar,borabanda,jyothi nagar - i,domestic,1,748,541.0,60589.0,519.92
banjara hills,green lands,sanath nagar,borabanda,jyothi nagar - ii,domestic,1,884,730.0,82096.0,694.52
banjara hills,green lands,sanath nagar,borabanda,kabeer nagar,domestic,1,1061,1041.0,120098.0,1123.78
banjara hills,green lands,sanath nagar,borabanda,karmika nagar (n),domestic,1,480,443.0,52122.0,458.28
banjara hills,green lands,sanath nagar,borabanda,karmika nagar (s),domestic,1,378,363.0,36575.0,369.63
banjara hills,green lands,sanath nagar,borabanda,karmika nagar ii,domestic,1,835,817.0,103174.0,909.52
banjara hills,green lands,sanath nagar,borabanda,mothi nagar (s),domestic,1,868,856.0,159403.0,1969.69
banjara hills,green lands,sanath nagar,borabanda,n.r.r.puram site - ii,domestic,1,241,234.0,38719.0,257.82
banjara hills,green lands,sanath nagar,borabanda,n.r.r.puram site - iii,domestic,1,996,964.0,136069.0,1043.32
banjara hills,green lands,sanath nagar,borabanda,n.r.r.puram-iii (w),domestic,1,305,293.0,43351.0,338.2
banjara hills,green lands,sanath nagar,borabanda,natco school,domestic,1,884,751.0,91421.0,656.0
banjara hills,green lands,sanath nagar,borabanda,nava bharath nagar,domestic,1,389,383.0,53241.0,360.7
banjara hills,green lands,sanath nagar,borabanda,new rama rao nagar,domestic,1,518,506.0,49079.0,571.06
banjara hills,green lands,sanath nagar,borabanda,nsc bose nagar,domestic,1,343,299.0,35541.0,344.64
banjara hills,green lands,sanath nagar,borabanda,peddamma nagar,domestic,1,607,563.0,60137.0,518.32
banjara hills,green lands,sanath nagar,borabanda,prathibha nagar,domestic,1,591,534.0,58517.0,445.44
banjara hills,green lands,sanath nagar,borabanda,radha krishna nagar,domestic,1,658,652.0,79835.0,706.52
banjara hills,green lands,sanath nagar,borabanda,rajeevgandhi nagar,domestic,1,792,715.0,74508.0,669.56
banjara hills,green lands,sanath nagar,borabanda,rama rao nagar,domestic,1,1166,1139.0,126453.0,1219.92
banjara hills,green lands,sanath nagar,borabanda,shilpi nagar,domestic,1,551,479.0,58024.0,415.05
banjara hills,green lands,sanath nagar,borabanda,shivaji nagar,domestic,1,740,738.0,75218.0,817.56
banjara hills,green lands,sanath nagar,borabanda,snehapuri colony,domestic,1,1068,1064.0,133381.0,1426.65
banjara hills,green lands,sanath nagar,borabanda,snehapuricolony ii,domestic,1,1022,1017.0,160351.0,1969.69
banjara hills,green lands,sanath nagar,borabanda,swaraj nagar,domestic,1,921,893.0,109079.0,1021.99
banjara hills,green lands,sanath nagar,borabanda,swaraj nagar (south),domestic,1,341,335.0,45731.0,381.16
banjara hills,green lands,sanath nagar,borabanda,vinayak nagar,domestic,1,476,433.0,42408.0,398.76
banjara hills,green lands,greenlands,begumpet,allamthotabai,domestic,1,1134,1102.0,128816.0,1297.84
banjara hills,green lands,greenlands,begumpet,allamthotabai apts,domestic,1,798,790.0,180809.625,1969.69
banjara hills,green lands,greenlands,begumpet,allauddin buildings,domestic,1,1299,1230.0,180809.625,1969.69
banjara hills,green lands,greenlands,begumpet,b.pet railway station,domestic,1,317,300.0,49015.0,342.12
banjara hills,green lands,greenlands,begumpet,begumpet basthi,domestic,1,773,733.0,112431.0,830.67
banjara hills,green lands,greenlands,begumpet,brahmanwadi,domestic,1,1130,1055.0,152945.0,1300.23
banjara hills,green lands,greenlands,begumpet,brahmanwadi apts,domestic,1,1208,1161.0,180809.625,1969.69
banjara hills,green lands,greenlands,begumpet,chikoti garden,domestic,1,173,153.0,59611.0,572.77
banjara hills,green lands,greenlands,begumpet,chikotigaden apts,domestic,1,821,811.0,180809.625,1969.69
banjara hills,green lands,greenlands,begumpet,dwaraka dass colony,domestic,1,1129,1114.0,143437.0,1588.67
banjara hills,green lands,greenlands,begumpet,grc - p.gadda p.nagar,domestic,1,27,26.0,19119.0,496.5
banjara hills,green lands,greenlands,begumpet,grc. c. garden  b.wadi,domestic,1,21,20.0,37388.0,360.47
