circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,LECTURAR S COLONY,TEMPORARY SUPPLY,8,1,1.0,473.0,10.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,LECTURERS COLONY-II,TEMPORARY SUPPLY,8,2,1.0,128.0,6.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,PADMAVATHI COLONY,TEMPORARY SUPPLY,8,2,2.0,3777.0,16.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,R K PURAM,TEMPORARY SUPPLY,8,1,1.0,0.0,7.0
SAROORNAGAR,IBRAHIMPATNAM,IBRAHIMPATNAM,YACHARAM,KOTAPALY,TEMPORARY SUPPLY,8,1,,0.0,5.0
SAROORNAGAR,IBRAHIMPATNAM,IBRAHIMPATNAM,YACHARAM,KURMIDDA,TEMPORARY SUPPLY,8,1,1.0,198.25,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,PRASHANTHI HILLA - II,TEMPORARY SUPPLY,8,2,2.0,1023.0,15.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,PRASHANTHI HILLS,TEMPORARY SUPPLY,8,1,1.0,921.0,16.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,PRASHANTHI HILLS - I,TEMPORARY SUPPLY,8,1,1.0,1298.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SARVODAYA NAGAR,TEMPORARY SUPPLY,8,1,,0.0,8.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHAKTHI NAGAR,TEMPORARY SUPPLY,8,1,1.0,2797.0,13.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVA HILLS ,TEMPORARY SUPPLY,8,2,2.0,735.0,11.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVA SAI NAGAR,TEMPORARY SUPPLY,8,1,1.0,556.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVAGANGA HILLS,TEMPORARY SUPPLY,8,2,2.0,1092.0,23.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVAJI NAGAR,TEMPORARY SUPPLY,8,1,1.0,0.0,8.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVASAI NAGAR (J),TEMPORARY SUPPLY,8,1,1.0,589.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,T S R NAGAR,TEMPORARY SUPPLY,8,1,1.0,0.0,2.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,R.T.C.COLONY,TEMPORARY SUPPLY,8,3,3.0,649.0,14.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,RTC SUPERVISORS CO,TEMPORARY SUPPLY,8,3,3.0,701.0,8.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,SHIVAM HILLS COLONY ,TEMPORARY SUPPLY,8,4,3.0,542.0,16.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,SHUBODAYA COLONY,TEMPORARY SUPPLY,8,1,1.0,929.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,SRI SURYA NAGAR,TEMPORARY SUPPLY,8,17,17.0,11382.0,107.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,SUBRAMANYAM NAGAR COLONY,TEMPORARY SUPPLY,8,3,2.0,668.0,23.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,VEERABHADRA NAGAR,TEMPORARY SUPPLY,8,2,2.0,5489.0,11.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,VIJAYANAGAR COLONY,TEMPORARY SUPPLY,8,1,1.0,81.0,5.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,HAYATH NAGAR,YELLAREDDY COLONY,TEMPORARY SUPPLY,8,5,5.0,1426.0,26.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,T.R.R. TOWNSHIP,TEMPORARY SUPPLY,8,1,,0.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,TEACHER COLONY 1,TEMPORARY SUPPLY,8,1,1.0,540.0,10.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,TEACHERS COLONY,TEMPORARY SUPPLY,8,4,3.0,751.0,20.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,TELEPHONE COLONY,TEMPORARY SUPPLY,8,2,2.0,492.0,11.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BAIRAMALGUDA,ABYUDAYA NAGAR,TEMPORARY SUPPLY,8,2,2.0,582.0,18.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BAIRAMALGUDA,AYODHYA NAGAR,TEMPORARY SUPPLY,8,7,6.0,3697.0,39.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,GANESH NAGAR,TEMPORARY SUPPLY,8,4,4.0,4895.0,16.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,HANUMAN NAGAR,TEMPORARY SUPPLY,8,2,2.0,1365.0,10.0
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,KUNTLOOR ROAD,TEMPORARY SUPPLY,8,1,1.0,514.0,5.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,ABDULLA PUR METT,TEMPORARY SUPPLY,8,3,3.0,763.0,35.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,BACHARAM,TEMPORARY SUPPLY,8,2,,0.0,45.0
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,BANDA RAVIRAYAL,TEMPORARY SUPPLY,8,5,5.0,14675.0,83.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,POCHAMMA BAGH,TEMPORARY SUPPLY,8,2,2.0,833.0,4.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SHARADA NAGAR II,TEMPORARY SUPPLY,8,4,4.0,530.0,10.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SRI NAGAR COLONY,TEMPORARY SUPPLY,8,3,2.0,544.0,29.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,TYAGARAYA NAGAR,TEMPORARY SUPPLY,8,2,1.0,372.0,16.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,UDAY NAGAR,TEMPORARY SUPPLY,8,2,2.0,1038.0,6.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,VENKATESWARA COLON,TEMPORARY SUPPLY,8,1,1.0,533.0,3.0
SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,SAROORNAGAR,VIVEKANANDA NAGAR,TEMPORARY SUPPLY,8,1,1.0,138.0,1.0
SECUNDERABAD,PARADISE,JAMES STREET,BIBLE HOUSE,GRC HV BIBLE HOUSE,TEMPORARY SUPPLY,8,5,3.0,481.0,43.0
SECUNDERABAD,PARADISE,JAMES STREET,BIBLE HOUSE,HYERBASTHI WEST,TEMPORARY SUPPLY,8,1,1.0,110.0,5.0
SECUNDERABAD,PARADISE,JAMES STREET,CLOCK TOWER,ASHOK NAGAR-A3,TEMPORARY SUPPLY,8,1,,0.0,5.0
SECUNDERABAD,PARADISE,JAMES STREET,CLOCK TOWER,"BANDIMET,SHANKAR VEEDHI",TEMPORARY SUPPLY,8,1,,0.0,2.0
SECUNDERABAD,PARADISE,JAMES STREET,CLOCK TOWER,GANDHI HOSPITAL,TEMPORARY SUPPLY,8,2,2.0,1076.0,6.0
SECUNDERABAD,PARADISE,JAMES STREET,CLOCK TOWER,GRC HV CLOCK TOWER,TEMPORARY SUPPLY,8,8,7.0,3537.0,53.0
SECUNDERABAD,BOWENPALLY,BALANAGAR,FEROZEGUDA,ANTHAMMA GUDA (GRP-B),TEMPORARY SUPPLY,8,1,,0.0,5.0
SECUNDERABAD,BOWENPALLY,BALANAGAR,FEROZEGUDA,C.T.METER  GRC (GRP-M),TEMPORARY SUPPLY,8,1,1.0,171.0,55.0
SECUNDERABAD,BOWENPALLY,BALANAGAR,FEROZEGUDA,PHOOL BAGH (GRP-A),TEMPORARY SUPPLY,8,1,,0.0,5.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,GRC HIGH VALUE (GRP-M),TEMPORARY SUPPLY,8,5,5.0,5687.0,60.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,INDIRA NAGAR COLONY (GRP-B),TEMPORARY SUPPLY,8,2,2.0,372.0,6.38
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,K.BASTHI OLD ALWAL (GRP-B),TEMPORARY SUPPLY,8,2,2.0,125.0,12.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,LAXMI NAGAR (GRP-A),TEMPORARY SUPPLY,8,1,1.0,128.0,2.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,LOTHUKUNTA (GRP-A),TEMPORARY SUPPLY,8,1,,0.0,2.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,MANGALONI CHELAKA(GRP-A),TEMPORARY SUPPLY,8,1,1.0,672.0,5.0
SECUNDERABAD,SECUNDERABAD,LALBAZAR,R.P. NILAYAM,MES COLONY-II (GRP-A),TEMPORARY SUPPLY,8,1,1.0,530.0,4.0
